scenario,seed,head,qwk,acc_pct,mae,rmse,macro_p,macro_r,macro_f1,wtd_p,wtd_r,wtd_f1,p_no_dr,r_no_dr,f1_no_dr,p_mild,r_mild,f1_mild,p_moderate,r_moderate,f1_moderate,p_severe,r_severe,f1_severe,p_proliferative_dr,r_proliferative_dr,f1_proliferative_dr
multi_nominal_resnet50_effnetb3,33,CE,0.8832,82.0163,0.2371,0.611,0.6885,0.6882,0.6802,0.8285,0.8202,0.8204,0.9727,0.9834,0.978,0.5686,0.7838,0.6591,0.7778,0.7,0.7368,0.4091,0.4737,0.439,0.7143,0.5,0.5882
multi_nominal_resnet50_effnetb3,81,CE,0.8552,80.654,0.2752,0.6905,0.6564,0.6462,0.6495,0.8028,0.8065,0.8038,0.9574,0.9945,0.9756,0.6486,0.6486,0.6486,0.7292,0.7,0.7143,0.3636,0.4211,0.3902,0.5833,0.4667,0.5185
multi_nominal_resnet50_effnetb3,5,CE,0.8778,83.1063,0.2371,0.6286,0.7052,0.6967,0.6936,0.8345,0.8311,0.8302,0.978,0.9834,0.9807,0.6216,0.6216,0.6216,0.7647,0.78,0.7723,0.4615,0.6316,0.5333,0.7,0.4667,0.56
multi_ordinal_resnet50_effnetb3,33,CORAL,0.8947,80.654,0.2425,0.5975,0.7171,0.6919,0.668,0.8486,0.8065,0.8152,0.9728,0.989,0.9808,0.7778,0.5676,0.6562,0.7816,0.68,0.7273,0.2885,0.7895,0.4225,0.7647,0.4333,0.5532
multi_ordinal_resnet50_effnetb3,81,CORAL,0.8915,77.9292,0.2616,0.5997,0.6911,0.6633,0.6304,0.8356,0.7793,0.7884,0.9677,0.9945,0.9809,0.6,0.6486,0.6234,0.7917,0.57,0.6628,0.25,0.7368,0.3733,0.8462,0.3667,0.5116
multi_ordinal_resnet50_effnetb3,5,CORAL,0.8639,78.4741,0.2698,0.6457,0.6338,0.6128,0.598,0.8106,0.7847,0.786,0.9781,0.989,0.9835,0.4746,0.7568,0.5833,0.7738,0.65,0.7065,0.25,0.3684,0.2979,0.6923,0.3,0.4186
multi_hybrid_resnet50_effnetb3,33,CE,0.8928,85.2861,0.2016,0.5766,0.7503,0.7168,0.7134,0.863,0.8529,0.8499,0.973,0.9945,0.9836,0.6818,0.8108,0.7407,0.8163,0.8,0.8081,0.4231,0.5789,0.4889,0.8571,0.4,0.5455
multi_hybrid_resnet50_effnetb3,81,CE,0.885,83.1063,0.2262,0.6065,0.7112,0.6821,0.6866,0.8357,0.8311,0.8295,0.9572,0.989,0.9728,0.6486,0.6486,0.6486,0.7879,0.78,0.7839,0.3846,0.5263,0.4444,0.7778,0.4667,0.5833
multi_hybrid_resnet50_effnetb3,5,CE,0.8942,83.9237,0.2098,0.5789,0.7395,0.7069,0.7066,0.851,0.8392,0.8386,0.9521,0.989,0.9702,0.6585,0.7297,0.6923,0.8191,0.77,0.7938,0.3929,0.5789,0.4681,0.875,0.4667,0.6087
multi_hybrid_resnet50_resnet50,33,CE,0.8746,77.9292,0.2752,0.6372,0.653,0.658,0.6286,0.8234,0.7793,0.7887,0.9667,0.9613,0.964,0.4909,0.7297,0.587,0.8267,0.62,0.7086,0.275,0.5789,0.3729,0.7059,0.4,0.5106
multi_hybrid_resnet50_resnet50,81,CE,0.8886,84.7411,0.2125,0.6087,0.7368,0.7149,0.7248,0.8438,0.8474,0.8452,0.957,0.9834,0.97,0.6053,0.6216,0.6133,0.8182,0.81,0.8141,0.625,0.5263,0.5714,0.6786,0.6333,0.6552
multi_hybrid_resnet50_resnet50,5,CE,0.8767,80.9264,0.248,0.6242,0.6753,0.6482,0.6516,0.8167,0.8093,0.8084,0.9574,0.9945,0.9756,0.5217,0.6486,0.5783,0.7717,0.71,0.7396,0.3478,0.4211,0.381,0.7778,0.4667,0.5833
teacher_nominal_resnet50_ce,shared,CE,0.8796,84.4687,0.2207,0.6198,0.7221,0.7126,0.7113,0.8471,0.8447,0.8435,0.9835,0.989,0.9862,0.5814,0.6757,0.625,0.8,0.8,0.8,0.5455,0.6316,0.5854,0.7,0.4667,0.56
teacher_nominal_effnetb3_ce,shared,CE,0.8807,82.5613,0.2371,0.6286,0.6786,0.6683,0.6704,0.8241,0.8256,0.8237,0.973,0.9945,0.9836,0.6061,0.5405,0.5714,0.7723,0.78,0.7761,0.4167,0.5263,0.4651,0.625,0.5,0.5556
teacher_ordinal_resnet50_coral,shared,CORAL,0.8678,77.3842,0.2779,0.6436,0.6459,0.6407,0.5971,0.8199,0.7738,0.7777,0.9889,0.9834,0.9861,0.4727,0.7027,0.5652,0.7792,0.6,0.678,0.2889,0.6842,0.4062,0.7,0.2333,0.35
teacher_ordinal_effnetb3_coral,shared,CORAL,0.8984,84.1962,0.2044,0.5598,0.7178,0.6898,0.6797,0.8515,0.842,0.8375,0.9945,0.9945,0.9945,0.65,0.7027,0.6753,0.781,0.82,0.8,0.4138,0.6316,0.5,0.75,0.3,0.4286
teacher_hybrid_re_resnet50_ce,shared,CE,0.8708,81.4714,0.2452,0.6307,0.6728,0.631,0.6373,0.8161,0.8147,0.8093,0.9728,0.989,0.9808,0.575,0.6216,0.5974,0.7383,0.79,0.7633,0.3636,0.4211,0.3902,0.7143,0.3333,0.4545
teacher_hybrid_re_effnetb3_coral,shared,CORAL,0.8984,84.1962,0.2044,0.5598,0.7178,0.6898,0.6797,0.8515,0.842,0.8375,0.9945,0.9945,0.9945,0.65,0.7027,0.6753,0.781,0.82,0.8,0.4138,0.6316,0.5,0.75,0.3,0.4286
teacher_hybrid_rr_resnet50_ce,shared,CE,0.8822,83.1063,0.2262,0.6065,0.6995,0.6787,0.671,0.8364,0.8311,0.8268,0.9731,1.0,0.9864,0.5854,0.6486,0.6154,0.7959,0.78,0.7879,0.4286,0.6316,0.5106,0.7143,0.3333,0.4545
teacher_hybrid_rr_resnet50_coral,shared,CORAL,0.8678,77.3842,0.2779,0.6436,0.6459,0.6407,0.5971,0.8199,0.7738,0.7777,0.9889,0.9834,0.9861,0.4727,0.7027,0.5652,0.7792,0.6,0.678,0.2889,0.6842,0.4062,0.7,0.2333,0.35
